# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR31533935_merged
READS_UNMAPPED	51.0000000000
UniRef90_J7TG29	407230.9201840400
UniRef90_J7TG29|unclassified	407230.9201840400
UniRef90_A0A192CDZ5	158267.2823509458
UniRef90_A0A192CDZ5|unclassified	158267.2823509458
UniClust90_12290-LMJGEGCL_02369	123980.2691066821
UniClust90_12290-LMJGEGCL_02369|unclassified	123980.2691066821
UniRef90_D1NFR0	104610.6572565557
UniRef90_D1NFR0|unclassified	104610.6572565557
UniRef90_A0A2P5YF41	91967.5744292680
UniRef90_A0A2P5YF41|unclassified	91967.5744292680
UniRef90_H6SIB2	72865.8378793148
UniRef90_H6SIB2|unclassified	72865.8378793148
UniClust90_87130-BLEPMJCG_00888	27437.6359375049
UniClust90_87130-BLEPMJCG_00888|unclassified	27437.6359375049
UniRef90_A0A444XZ37	13639.8228556886
UniRef90_A0A444XZ37|unclassified	13639.8228556886