# Reaction HUMAnN v4.0.0.alpha.1	SRR7947171_kegg
UNMAPPED	0.0000000000
UNGROUPED	1018859.1588593718
UNGROUPED	957362.8209278693
K17675	1323.1986444148
K02120	1083.0852820768
K01520	964.3851454563
K01770	924.0418885244
K07560	867.5194130173
K18330	817.9585375799
K00794	732.1157595952
K08857	692.8354799210
K01755	686.2721882339
K06173	678.8543099475
K01056	626.6269214996
K01808	561.3855407293
K01489	509.7242946499
K05879	508.6570878986
K02428	498.6596594669
K07307	490.1773452976
K06041	470.1948768157
K01129	461.4849798405
K02446	458.4884100641
K00759	457.7689257738
K01629	452.1669399785
K00858	427.9793614076
K00891	417.5128644620
K01624	417.3377707779
K00919	413.2807761124
K00791	408.7825831632
K18446	403.2100599144
K03571	381.1241285685
K00784	370.9159085719
K03768	367.6330089732
K00860	363.6107659866
K00799	358.1252587411
K10439	350.5698735356
K23123	342.6188042389
K07141	333.6749398712
K01934	333.0062526170
K01159	324.5510157341
K03648	322.6604272930
K00087	321.7002060736
K02231	317.7248949443
K00868	311.3099817755
K07404	309.7457969372
K03767	308.8663941559
K03152	307.7224445479
K01151	307.1536415081
K15024	306.3059081135
K00655	304.8993028548
K01153	303.0934498227
K10804	299.4056217223
K03100	298.9809309286
K03470	297.7959140786
K01803	296.7323572426
K11755	292.0388753179
K00554	291.5265264138
K00024	288.2867348036
K07636	287.4501846612
K00241	285.5156701991
K01776	282.1224449166
K00949	281.1677158306
K02013	281.1677158306
K01297	280.2194267384
K01035	279.7476768617
K23259	261.2737736728
K05780	260.0471362377
K00973	255.3562621647
K00602	252.3477331691
K03606	246.4526380166
K04372	245.4540414540
K03814	245.0886726488
K15633	244.1713408731
K01923	244.0089868662
K00847	241.1757910825
K01815	240.4777424832
K22607	239.7837230244
K09022	237.3858857941
K03183	235.3684420055
K01809	232.4057623159
K05632	230.2252553648
K01265	229.5167404087
K01451	228.2556594174
K18785	227.9425515170
K00876	227.3703911367
K01591	227.0083607321
K07106	224.5542162917
K00299	223.9489488624
K02441	223.9489488624
K10563	223.9489488624
K00286	222.1525669196
K11748	218.9480335300
K00604	217.5001571412
K00609	216.0859818672
K02371	213.8611583731
K00765	211.9516837447
K03438	206.6792538008
K00850	206.1664020544
K01425	205.6560891781
K03883	204.5745465186
K00640	203.8897178600
K10205	202.1534307249
K14187	201.0014190603
K01889	200.6885507921
K00560	197.3516865272
K01524	196.4185816263
K22749	193.6714685966
K01126	193.4460070499
K00760	193.1687627763
K10213	191.8823557227
K22442	189.6919178720
K07027	189.0445051830
K03831	188.4014966620
K01625	187.1285135764
K00547	186.7080000628
K00971	186.3934535539
K01599	184.4285461219
K01961	183.8914210235
K02190	182.8054126027
K00648	179.0626293706
K03478	178.8698816533
K01868	177.7225109416
K00611	177.7220535357
K21512	177.7050340976
K19810	177.3427108387
K01273	176.5888629712
K00044	176.2143372809
K01409	176.2143372809
K16950	176.2143372809
K07393	175.2849367678
K01785	174.1825157818
K01000	172.0187578218
K01442	170.6058727473
K00566	170.4308923650
K14457	169.9080982166
K07056	168.7113345323
K01813	168.4753040265
K02355	167.3837470630
K03575	167.3415106303
K06941	166.1701200559
K10542	166.1068338210
K03809	164.8513095792
K02057	162.9118824077
K01089	162.1171902984
K07637	161.8014800934
K03732	160.0868208631
K01588	159.2403224520
K01696	157.3580682347
K14441	157.3580682347
K07154	156.3218438908
K02844	154.2898050658
K01903	154.1466790871
K00313	153.8612222740
K03750	153.5768207540
K05349	153.5451107980
K02336	152.1597455999
K02256	152.1129393064
K03185	147.3139362197
K04023	146.8439283763
K01686	146.7933922755
K01681	146.2578311820
K23007	145.8261977404
K10206	145.5079860384
K08323	144.6215144089
K00600	143.3737015150
K14155	143.1267183944
K05308	142.6352961853
K01939	141.5418399113
K02527	141.4213787710
K02498	140.8221356406
K19956	140.7028958983
K13378	139.6387563495
K03574	139.1439021449
K03350	137.4189599112
K01465	134.7689538166
K00041	132.5120574608
K02056	130.5342655584
K01929	129.4159813519
K03332	128.1188281078
K00335	127.9215704818
K03385	127.8231692738
K06168	127.7249193358
K06158	127.3772896943
K04021	127.1385769364
K04084	126.7812907612
K19309	126.3598990014
K02261	125.8864545878
K03498	125.8864545878
K01885	125.7911582558
K00111	125.5061329727
K21681	124.7523423843
K02824	124.4720000419
K00690	122.4540309918
K07259	122.2738190257
K04075	121.7910479741
K01719	121.1152478541
K03785	120.6065204089
K00425	120.5004496417
K00343	118.9478311066
K05833	118.1864296272
K00130	117.9347906713
K03797	117.6009342221
K01190	117.2367395213
K00757	116.6260045485
K01928	116.4471759326
K18890	115.9596092504
K01951	114.3634687239
K02224	114.1467587036
K14445	113.7372484982
K18889	112.4290392800
K02551	109.9008730528
K02538	109.5386420935
K00266	109.0097186621
K20509	107.0683763247
K07964	106.8618135408
K01119	106.7931362827
K06020	106.5876331340
K06178	105.9758418724
K07085	105.8408407999
K13280	105.5048381307
K01585	105.1709620607
K05714	102.3215024975
K13069	101.8199265048
K06148	98.8519453039
K01652	97.1187142349
K05713	96.4983275586
K01972	96.4268587530
K04773	96.3305043802
K06957	96.1076460705
K04041	95.9966031519
K06207	94.1473768022
K03770	94.0678020832
K01870	93.8044109660
K00052	91.1020395043
K00627	89.9675798895
K01407	89.5971594327
K17948	89.4555439656
K05396	89.3387742236
K01534	87.4119516338
K04691	86.9090586066
K05677	85.6547010597
K00962	85.4784568189
K01582	84.5219328870
K00525	83.5865795050
K00605	83.3642136734
K17195	80.8598652560
K21574	80.0048724390
K13788	79.8894807961
K11997	78.8657427887
K03654	77.8679100543
K01091	77.4685874386
K05367	77.3964229417
K00865	75.1900995728
K00930	74.2493834030
K07648	74.2162215524
K04066	73.1382570668
K11832	72.5633712034
K01448	72.1851086255
K00821	71.3176480927
K21021	71.1344692020
K00615	70.6648502768
K18707	70.4550342280
K02014	70.2622072118
K03579	69.8193781747
K01872	66.4680480224
K02809	66.1620585252
K02810	66.1620585252
K00990	65.9928991485
K08866	65.2415076780
K01883	64.4210751635
K00928	64.3073220030
K02548	64.2575870286
K00067	64.1831286427
K07319	63.7644359386
K01805	63.1356386547
K12339	62.5876158403
K01679	61.9575391707
K01666	61.3400221690
K11907	60.5797010776
K01869	60.1847591655
K02341	60.0884834901
K03701	60.0325578237
K06901	59.9080172951
K00040	59.8164579035
K00053	59.4739155533
K00681	58.5518393432
K14459	58.3053052828
K02529	58.3005095751
K13926	56.9856378792
K00123	55.3531379267
K01537	54.6073348853
K02262	54.5893955506
K01467	54.0908539834
K03150	53.2084918527
K02622	52.5114731099
K00795	51.6056273465
K03070	50.8787875248
K12308	50.8320954591
K04348	49.2647850744
K01689	48.9259139445
K00820	48.3333682536
K08483	47.5631473139
K11189	47.5631473139
K11201	47.5631473139
K14652	47.1773332343
K04044	47.0204074861
K11717	46.5071704606
K00370	45.3150041058
K03771	44.3830448867
K01753	44.1354900547
K05744	43.9836209783
K07262	43.9249122238
K00383	43.1722837246
K04423	41.8830435123
K07316	41.8504517443
K03881	41.0905341384
K01626	40.5292975746
K03046	39.7061218772
K00883	39.6114708119
K02805	39.0694620122
K00426	37.8003002857
K01684	37.3920162142
K00265	36.2500261902
K07700	36.2500261902
K00616	36.0847166245
K01699	34.1702899560
K03119	34.0652147494
K03472	33.8432016407
K01662	33.4747458635
K03583	32.9621369998
K03833	32.1661091862
K01756	31.3055991062
K03581	31.2761377858
K01203	30.5515940533
K03657	29.1574553872
K19709	28.9293384498
K00371	27.9371419058
K00746	26.5787140205
K21636	26.5659664358
K00244	25.6181241691
K07812	24.2407177324
K00362	22.6358970244
K03578	21.5581370078
K22597	20.3017862011
K04567	18.7508598574
K01948	18.5831044572
K12573	18.4224079885
K01257	18.2144088361
K02798	17.9352531091
K02799	17.9352531091
K02800	17.9352531091
K06445	17.9110355093
K01530	16.1817236397
K01874	15.6509278138
K06894	15.1476864226
K01952	15.0557325411
K02470	14.7755032364
K01007	14.5846905180
K16675	14.4244895882
K01595	12.7528871877
K01547	10.2608106889
K03010	9.5117412739
K00548	9.1302263767
K05698	5.9599770473
K04072	5.6897832582